"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","","Offentlig","Enskild","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","139","Kungsängen","Kungsgården","","","40% - 60%","100","0","19","31","6","100","75","67","75","63","60","73","43","60","93","79","88","87","64","79","31","93","62","73","47","92","81"
"1","139","Kungsängen","Kungsängens servicehus","","","60% - 80%","100","0","9","55","18","100","82","20","45","x","x","50","40","44","82","50","82","80","29","73","20","82","73","73","45","x","91"
"1","140","Lugnet","","","","40% - 60%","100","0","45","36","23","100","82","82","71","64","77","76","72","63","100","85","90","82","76","75","35","89","59","90","52","94","90"
"1","140","Lugnet","Vitsippan","","","60% - 80%","100","0","38","38","25","100","88","75","75","38","63","63","63","43","100","86","100","75","50","x","43","86","x","86","57","x","86"
"1","160","Allégården","","","","60% - 80%","0","100","34","34","16","92","71","50","54","81","66","69","33","54","90","71","87","72","46","66","40","70","57","84","39","83","75"
"1","160","Allégården","Gruppboende","","","40% - 60%","0","100","14","14","14","x","43","14","x","57","x","57","x","x","x","x","71","57","x","29","x","x","x","57","14","57","43"
"1","160","Allégården","Vårdboende","","","60% - 80%","0","100","40","40","17","95","79","61","55","88","74","72","29","59","88","73","92","76","53","77","50","78","68","92","46","94","84"
"1","160","Attundagården","","","","40% - 60%","0","100","26","37","10","92","64","41","29","53","54","59","26","38","70","46","77","62","33","25","14","67","36","66","32","75","55"
"1","160","Attundagården","Gruppboende","","","20% - 40%","0","100","43","29","29","x","x","0","14","71","43","57","x","x","57","x","57","57","x","14","29","x","x","57","43","x","43"
"1","160","Attundagården","Vårdboende","","","60% - 80%","0","100","21","39","4","95","73","55","35","48","57","59","28","48","74","50","83","64","39","29","9","71","35","68","29","74","58"
"1","160","Broby gård Gruppboende","","","","40% - 60%","0","100","17","44","39","100","82","100","69","100","94","83","67","75","94","92","88","94","69","69","38","100","73","100","44","94","100"
"1","160","Enhagsslingan","","","","40% - 60%","0","100","7","33","20","82","64","64","93","87","77","67","25","60","93","77","86","80","70","100","31","71","50","80","60","91","71"
"1","160","Enhagsslingan","Gruppboende","","","40% - 60%","0","100","9","27","18","100","60","64","91","100","90","82","x","50","91","70","90","82","75","100","33","70","56","82","73","100","80"
"1","160","Furan Gruppboende","","","","60% - 80%","0","100","28","38","28","100","81","83","44","71","71","71","79","71","100","93","88","94","63","76","40","82","73","82","59","85","88"
"1","160","Höstfibblan Vårdboende","","","","60% - 80%","0","100","57","43","14","x","71","x","71","86","86","86","43","57","86","86","86","86","71","57","43","86","x","86","86","x","71"
"1","160","Lyktan","","","","60% - 80%","0","100","30","44","30","x","40","60","44","50","70","50","x","x","70","80","80","90","56","50","20","86","43","67","40","88","70"
"1","160","Näsbyparks Parkinsonboende","","","","60% - 80%","0","100","25","42","17","78","70","50","45","58","18","50","36","36","67","50","58","83","45","40","50","73","42","75","50","38","50"
"1","160","Näsbyparks Parkinsonboende","Ext Stockholm","","","80% - 100%","0","100","14","29","0","x","x","57","x","29","14","29","57","14","57","x","57","71","43","x","x","x","43","71","57","x","29"
"1","160","Rallarrosen Gruppboende","","","","80% - 100%","0","100","0","x","14","100","100","100","100","100","100","100","x","x","100","100","100","86","86","100","x","100","x","100","x","x","100"
"1","160","Tibblehemmet","","","","60% - 80%","0","100","29","21","9","78","72","38","29","69","67","70","39","50","95","79","87","92","76","40","35","84","66","85","43","95","74"
"1","160","Tibblehemmet","Gruppboende","","","60% - 80%","0","100","36","17","16","74","68","48","32","83","78","73","57","53","92","76","90","90","83","58","31","88","79","95","48","91","73"
"1","160","Tibblehemmet","Vårdboende","","","60% - 80%","0","100","20","26","0","82","75","28","25","53","53","67","24","47","100","82","83","94","67","19","39","81","53","75","37","100","75"
"1","160","Åkerby Vårdboende","","","","60% - 80%","0","100","14","29","0","x","71","29","x","86","71","57","x","57","100","x","x","x","x","x","x","x","x","86","43","86","x"
"1","160","Ångaren","","","","40% - 60%","100","0","34","48","9","93","74","63","69","71","77","77","41","68","97","70","94","91","33","40","39","66","44","77","48","90","78"
"1","160","Ångaren","Vårdboende","","","60% - 80%","100","0","35","52","8","90","73","65","67","68","67","68","35","59","95","62","91","87","22","32","41","60","33","73","41","86","70"
"1","162","Annebergsgården","","","","40% - 60%","100","0","24","48","0","94","75","57","95","95","75","62","38","56","86","83","95","85","50","83","32","82","38","79","56","95","85"
"1","162","Annebergsgården","Eneby + Nora","","","40% - 60%","100","0","20","30","0","100","89","30","100","90","70","60","50","60","80","80","90","80","43","89","30","100","63","60","70","89","80"
"1","162","Annebergsgården","Mörby + Ösby","","","40% - 60%","100","0","27","64","0","89","64","82","91","100","80","64","25","50","91","88","100","90","57","78","33","57","x","100","38","100","90"
"1","162","Klingsta äldreboende","","","","40% - 60%","100","0","18","22","24","94","59","50","89","83","72","72","33","57","94","73","94","89","59","29","17","88","46","89","67","87","78"
"1","162","Mörbylund gruppboende","","","","40% - 60%","0","100","14","71","14","x","43","43","x","86","x","x","x","x","100","x","86","x","x","29","x","71","x","71","x","x","x"
"1","162","Odinslund äldreboende","","","","40% - 60%","0","100","21","32","10","88","72","45","47","74","63","80","41","63","100","88","85","90","68","22","41","59","27","90","45","100","89"
"1","162","Odinslund äldreboende","11 C Vån 1","","","60% - 80%","0","100","29","43","0","86","86","57","x","57","57","71","29","71","100","86","100","100","86","x","x","x","x","100","43","x","100"
"1","162","Stocksundsgården","","","","80% - 100%","100","0","33","76","0","100","88","72","94","88","71","69","44","63","89","75","94","89","81","83","69","82","27","81","56","93","82"
"1","162","Stocksundsgården","Nedre plan A+C","","","60% - 80%","100","0","25","86","0","100","x","63","88","x","71","x","x","x","75","x","88","88","x","88","x","75","14","x","57","x","71"
"1","162","Stocksundsgården","Övre plan B+D","","","80% - 100%","100","0","40","70","0","100","90","80","100","90","70","90","60","80","100","80","100","90","70","80","70","89","38","90","56","100","90"
"1","162","Svalnäs äldreboende","","","","40% - 60%","0","100","11","44","5","94","68","53","100","53","53","71","44","38","89","69","84","79","67","47","32","50","20","68","33","76","79"
"1","162","Svalnäs äldreboende","Ext Täby","","","80% - 100%","0","100","x","x","x","x","x","x","x","x","57","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"1","162","Tallgården/Lärkträdet äldreboen","","","","40% - 60%","0","100","20","32","5","94","72","44","67","68","67","70","52","57","90","78","80","85","66","53","24","86","63","82","44","97","82"
"1","162","Tallgården/Lärkträdet äldreboen","Lärkträdet äldreboende","","","60% - 80%","0","100","22","44","22","x","75","71","100","75","100","86","x","x","88","x","75","86","x","100","29","x","x","100","38","100","86"
"1","162","Tallgården/Lärkträdet äldreboen","Tallgården C + B1","","","60% - 80%","0","100","25","22","0","89","75","25","43","63","38","86","x","43","100","100","89","89","57","14","14","90","71","70","56","100","90"
"1","162","Tallgården/Lärkträdet äldreboen","Tallgården Vån B2 + B3","","","40% - 60%","0","100","22","33","0","100","67","33","x","78","78","56","22","57","78","50","78","78","67","33","33","75","x","88","38","100","75"
"1","162","Tallgården/Lärkträdet äldreboen","Tallgården Vån D1 + E1","","","40% - 60%","0","100","13","25","0","x","75","x","43","43","63","75","x","x","100","88","75","100","x","x","25","100","x","75","50","x","88"
"1","163","Bergkälla","","","","40% - 60%","0","100","29","45","14","80","57","65","42","71","60","55","28","44","86","53","71","67","50","47","32","84","33","62","48","73","71"
"1","163","Bergkälla","Särskilt boende för äldre","","","40% - 60%","0","100","29","45","14","80","57","65","42","71","60","55","28","44","86","53","71","67","50","47","32","84","33","62","48","73","71"
