"Läns-kod","Kommun-kod","Enhet, nivå 1","","","","","place holder1","place holder 2","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","138","Björkbackens äldrecentrum","Björkebo äldreboende","","","40-60","0","0","33","53","7","92","67","73","83","53","47","73","38","50","93","79","80","93","55","60","53","73","36","87","53","88","80"
"1","138","Björkbackens äldrecentrum","Gruppb Näckrosen o Solrosen","","","40-60","0","0","38","71","0","88","71","86","57","71","86","71","x","x","100","x","100","100","43","57","x","100","x","100","13","x","100"
"1","138","Björkbackens äldrecentrum","Kastanjen","","","40-60","0","0","27","18","0","100","64","70","64","82","36","100","38","55","100","80","82","73","55","45","30","80","57","82","73","78","80"
"1","138","Björkbackens äldrecentrum","Syrenen","","","40-60","0","0","50","25","0","92","67","75","67","90","100","55","56","33","100","80","92","92","80","50","17","80","50","80","55","78","82"
"1","138","Övriga privata utförare","","","","40-60","0","0","23","31","14","84","72","57","63","65","53","65","37","40","94","64","80","78","59","49","35","80","47","79","41","84","79"
"1","138","Övriga privata utförare","Krusmyntans äldreboende","","","60-80","0","0","13","27","17","65","62","50","57","65","47","63","29","20","90","53","71","77","60","39","24","75","44","74","43","80","67"
"1","138","Övriga privata utförare","Trollängens äldreboende","","","40-60","0","0","31","36","12","95","75","67","64","65","58","65","41","50","96","70","84","76","62","52","44","79","43","81","31","86","88"
"1","138","Övriga privata utförare","Ängsgården","","","40-60","0","0","29","x","13","100","88","43","75","x","x","71","x","x","100","x","88","88","x","63","29","100","x","86","71","88","75"
"1","139","Bro","","","","60-80","0","0","27","50","29","71","75","75","47","68","74","71","65","80","100","76","76","90","69","71","39","94","56","95","25","92","81"
"1","139","Bro","Allégården","","","40-60","0","0","25","63","25","x","x","x","x","63","x","71","x","x","100","x","57","71","x","57","x","x","x","100","13","x","71"
"1","139","Bro","Norrgården","","","60-80","0","0","29","43","31","75","71","71","44","71","69","71","75","86","100","85","86","100","67","79","50","91","50","92","33","88","86"
"1","139","Kungsängen","","","","40-60","0","0","23","43","13","92","83","77","90","61","63","79","43","55","97","73","87","87","66","59","45","78","69","81","35","81","74"
"1","139","Kungsängen","Hagtorp","","","40-60","0","0","8","33","8","100","82","58","92","55","55","60","11","56","92","60","83","83","64","58","27","73","56","75","25","64","58"
"1","139","Kungsängen","Kungsgården","","","60-80","0","0","32","50","16","87","83","89","89","65","68","89","64","54","100","81","89","89","67","59","56","81","76","84","42","94","84"
"1","160","Allégården","","","","60-80","0","0","18","41","15","93","58","30","78","84","53","53","31","55","91","59","84","79","50","72","40","71","23","79","43","73","66"
"1","160","Allégården","Allégården Gruppboende","","","40-60","0","0","0","25","13","x","43","13","57","86","43","x","x","x","86","71","57","38","x","63","x","75","x","71","13","43","57"
"1","160","Allégården","Allégården Vårdboende","","","60-80","0","0","24","46","16","95","63","36","85","84","57","54","33","65","92","55","92","92","53","75","48","70","20","82","55","87","68"
"1","160","Attundagården","","","","40-60","0","0","19","44","15","82","65","48","38","56","48","48","18","23","84","57","77","62","32","35","28","77","44","71","38","71","67"
"1","160","Attundagården","Attundagården Gruppboende","","","20-40","0","0","25","50","13","x","71","38","x","50","57","57","x","x","100","x","88","50","43","38","38","x","x","71","38","x","75"
"1","160","Attundagården","Attundagården Vårdboende","","","40-60","0","0","16","42","17","81","63","53","33","58","44","44","25","31","78","67","72","67","27","33","24","69","45","71","39","67","63"
"1","160","Broby gård Gruppbonde","","","","40-60","0","0","20","21","47","92","67","87","47","77","92","80","20","33","100","73","85","79","54","53","40","92","67","100","40","92","93"
"1","160","Furan Gruppboende","","","","40-60","0","0","38","15","31","92","73","92","46","69","69","67","40","55","100","90","85","69","55","46","33","75","82","83","62","83","69"
"1","160","Höstfibblan Vårdboende","","","","60-80","0","0","50","60","10","88","60","40","67","60","40","60","40","70","100","67","80","70","70","50","50","70","78","70","40","75","80"
"1","160","Näsbypark parkinsonboende","","","","60-80","0","0","25","33","0","100","58","50","56","75","33","58","50","42","75","55","83","75","58","17","18","73","45","50","58","64","67"
"1","160","Tibblehemmet","","","","40-60","0","0","29","28","6","72","53","38","25","66","47","45","29","27","94","69","84","82","46","40","31","74","43","76","41","87","65"
"1","160","Tibblehemmet","Tibblehemmet Gruppboende","","","40-60","0","0","24","27","6","67","53","44","21","79","62","47","22","13","94","64","79","81","46","47","31","71","18","80","38","75","56"
"1","160","Tibblehemmet","Tibblehemmet Vårdboende","","","40-60","0","0","35","31","6","83","53","33","31","53","35","44","36","36","94","73","88","82","43","29","31","76","56","71","41","100","71"
"1","160","Ångaren","","","","40-60","0","0","33","41","22","95","75","60","82","69","56","74","65","61","96","87","96","89","38","42","38","73","65","85","41","94","88"
"1","160","Ångaren","Ångaren Vårdboende","","","40-60","0","0","32","37","5","93","67","44","73","67","42","63","59","50","95","81","95","84","35","31","39","67","54","79","32","89","83"
"1","162","Annebergsgården","","","","60-80","0","0","27","40","4","96","85","58","88","79","74","77","45","57","85","65","85","80","58","65","48","79","38","91","56","95","80"
"1","162","Annebergsgården","Annebergsgården Eneby + Nora","","","60-80","0","0","25","33","0","100","83","73","92","83","73","75","70","58","83","73","83","82","75","64","50","75","33","83","82","90","75"
"1","162","Annebergsgården","Annebergsgården Mörby + Ösby","","","80-100","0","0","31","50","8","92","85","50","85","73","82","77","27","50","85","64","85","77","50","64","42","91","x","100","38","100","83"
"1","162","Klingsta äldreboende","","","","40-60","0","0","16","35","21","87","63","42","63","94","71","53","13","36","89","47","61","79","50","42","14","84","43","84","56","89","74"
"1","162","Klingsta äldreboende","Klingsta äldreboende avd. 1","","","60-80","0","0","43","71","43","x","86","71","71","100","71","86","x","57","86","x","x","100","x","43","x","86","x","100","43","100","100"
"1","162","Mörbylund gruppboende","","","","60-80","0","0","9","30","0","x","67","56","x","89","71","50","x","x","100","x","100","100","x","x","x","71","x","100","50","88","75"
"1","162","Odinslund äldreboende","","","","40-60","0","0","39","33","11","100","56","50","40","67","67","78","18","53","100","59","88","89","63","44","11","72","31","89","47","92","89"
"1","162","Stocksundsgården","","","","60-80","0","0","21","47","16","100","72","72","89","83","58","47","56","56","100","67","82","68","53","74","41","53","27","68","39","76","78"
"1","162","Stocksundsgården","Stocksundsgården Nedre plan A+C","","","60-80","0","0","20","50","0","100","80","78","100","89","60","30","50","63","100","56","75","70","x","70","44","56","38","70","44","78","89"
"1","162","Stocksundsgården","Stocksundsgården Övre plan B+D","","","60-80","0","0","22","44","33","100","63","67","78","78","56","67","63","50","100","78","89","67","44","78","38","50","14","67","33","75","67"
"1","162","Svalnäs äldreboende","","","","40-60","0","0","19","56","13","93","88","53","81","31","50","60","40","47","94","69","94","88","50","56","25","53","40","75","50","82","81"
"1","162","Tallgården/Lärkträdet äb","","","","60-80","0","0","21","39","15","85","63","56","53","56","60","58","25","49","94","67","85","76","50","46","38","77","48","74","36","92","73"
"1","162","Tallgården/Lärkträdet äb","Ext Täby Tallgården Vårdboende","","","60-80","0","0","16","47","22","82","70","63","66","69","71","65","35","64","94","79","87","71","39","58","40","71","36","75","25","95","72"
"1","162","Tallgården/Lärkträdet äb","Lärkträdet äldreboende","","","60-80","0","0","38","63","25","x","x","x","x","x","x","86","x","x","100","x","88","75","x","38","x","x","x","100","29","86","75"
"1","162","Tallgården/Lärkträdet äb","Tallgården Vån B2 + B3","","","60-80","0","0","25","25","8","86","58","40","36","17","18","50","18","9","92","45","83","75","100","33","36","75","58","58","44","100","75"
"1","162","Tallgården/Lärkträdet äb","Tallgården Vån D1 + E1","","","40-60","0","0","29","29","14","x","29","x","29","29","x","29","14","x","x","x","x","x","x","71","x","x","x","57","57","x","71"
"1","163","Bergkälla","","","","40-60","0","0","24","48","12","80","75","58","57","83","73","64","53","63","92","74","88","88","60","59","33","85","67","86","56","85","83"
"1","163","Bergkälla","Bergkälla Demens","","","40-60","0","0","30","50","10","89","78","67","63","80","89","67","x","71","100","88","89","90","63","78","25","78","75","100","60","89","90"
"1","163","Bergkälla","Bergkälla Omvårdnad","","","40-60","0","0","20","47","13","73","73","53","53","86","62","62","56","58","86","64","87","86","58","46","38","91","60","77","53","82","77"
"1","163","Externa Rotsunda Strand","","","","40-60","0","0","33","27","33","82","42","50","78","92","64","67","14","50","100","88","100","83","22","40","27","73","44","92","42","100","83"
"1","163","Externa Rotsunda Strand","Ext Upplands Väsby Rotsunda Str","","","40-60","0","0","33","33","33","75","44","44","x","100","63","78","x","43","100","x","100","100","29","43","22","75","x","100","44","100","89"
"1","163","Gabrielsgård","","","","40-60","0","0","33","0","11","x","86","100","x","100","100","86","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"1","163","Gillbogården","","","","60-80","0","0","11","13","0","100","50","78","56","60","80","50","60","78","89","100","78","78","70","56","30","70","57","70","44","x","70"
"1","163","Lenalundsgården","","","","40-60","0","0","31","38","6","67","57","60","18","64","50","81","42","57","100","71","88","81","45","62","38","87","36","79","38","79","73"
